Mark	Timestamp	Sync Time	Frame	Event	Comments
1	06-02-2015 11:11:55.601	3516102715.601789	3	left start ACQ	
2	06-02-2015 11:12:43.801	3516102763.801545	12	left start ACQ	-
3	06-02-2015 11:13:15.157	3516102795.157339	18	left end ACQ	-
4	06-02-2015 11:13:46.457	3516102826.457129	24	right start ACQ	-
5	06-02-2015 11:14:14.732	3516102854.732746	30	right end ACQ	-
6	06-02-2015 11:15:09.153	3516102909.153859	41	right start ACQ	-
7	06-02-2015 11:15:41.753	3516102941.753724	47	right end ACQ	-
8	06-02-2015 11:16:30.593	3516102990.593517	57	left start ACQ	-
9	06-02-2015 11:17:18.553	3516103038.553260	66	left end ACQ	-
