Mark	Timestamp	Sync Time	Frame	Event	Comments
1	05-21-2015 18:31:01.112	3515092261.112873	4	left start ACQ	
2	05-21-2015 18:33:03.296	3515092383.296861	28	left start ACQ	-
3	05-21-2015 18:33:38.624	3515092418.624882	35	left end ACQ	-
4	05-21-2015 18:34:51.065	3515092491.065025	49	right start ACQ	-
5	05-21-2015 18:35:47.537	3515092547.537255	60	right start ACQ	-
6	05-21-2015 18:36:38.577	3515092598.577175	70	other	-
7	05-21-2015 18:38:44.876	3515092724.876399	95	other	-
8	05-21-2015 18:39:28.928	3515092768.928918	103	other	-
9	05-21-2015 18:41:58.697	3515092918.697484	133	other	-
10	05-21-2015 18:42:31.089	3515092951.089337	139	other	-
