Mark	Timestamp	Sync Time	Frame	Event	Comments
1	05-20-2015 13:44:40.880	3514988680.880566	4	left start ACQ	
2	05-20-2015 13:45:12.576	3514988712.576378	10	left end ACQ	-
3	05-20-2015 13:46:27.576	3514988787.576668	25	right start ACQ	-
4	05-20-2015 13:47:02.680	3514988822.680676	32	left end ACQ	-
5	05-20-2015 13:47:50.563	3514988870.563415	41	right start ACQ	-
6	05-20-2015 13:48:41.630	3514988921.630336	51	right end ACQ	-
7	05-20-2015 13:51:08.163	3514989068.163717	80	left start ACQ	-
8	05-20-2015 13:52:23.512	3514989143.512026	95	left start ACQ	-
9	05-20-2015 13:52:51.579	3514989171.579632	100	left end ACQ	-
