Mark	Timestamp	Sync Time	Frame	Event	Comments
1	02-21-2015 11:26:36.161	3507380796.161033	3	left start ACQ	
2	02-21-2015 11:27:13.728	3507380833.728181	10	left end ACQ	-
3	02-21-2015 11:27:48.720	3507380868.720183	17	right start ACQ	-
4	02-21-2015 11:28:28.800	3507380908.800475	24	right end ACQ	-
5	02-21-2015 11:29:41.226	3507380981.226618	38	left start ACQ	-
6	02-21-2015 11:30:18.472	3507381018.472748	45	left end ACQ	-
7	02-21-2015 11:31:03.544	3507381063.544326	53	right start ACQ	-
8	02-21-2015 11:31:39.504	3507381099.504383	60	right end ACQ	-
