Mark	Timestamp	Sync Time	Frame	Event	Comments
1	06-22-2015 15:40:45.578	3517846845.578132	1	left start ACQ	-
2	06-22-2015 15:41:54.394	3517846914.394068	15	left end ACQ	-
3	06-22-2015 15:44:16.186	3517847056.186178	44	right start ACQ	-
4	06-22-2015 15:45:24.904	3517847124.904108	57	right end ACQ	-
5	06-22-2015 15:47:05.959	3517847225.959888	77	right start ACQ	-
6	06-22-2015 15:48:11.733	3517847291.733650	90	right end ACQ	-
7	06-22-2015 15:48:50.778	3517847330.778883	98	left start ACQ	-
8	06-22-2015 15:49:58.762	3517847398.762772	111	left end ACQ	-
