Mark	Timestamp	Sync Time	Frame	Event	Comments
1	04-29-2015 16:03:40.976	3513182620.976802	5	left start ACQ	
2	04-29-2015 16:05:13.496	3513182713.496093	23	left start ACQ	-
3	04-29-2015 16:05:44.992	3513182744.992895	29	left end ACQ	-
4	04-29-2015 16:06:48.640	3513182808.640535	42	right start ACQ	-
5	04-29-2015 16:07:20.792	3513182840.792375	48	right end ACQ	-
6	04-29-2015 16:08:58.512	3513182938.512964	69	right start ACQ	-
7	04-29-2015 16:09:24.147	3513182964.147430	76	right end ACQ	-
8	04-29-2015 16:09:47.592	3513182987.592771	83	other	-
9	04-29-2015 16:10:32.416	3513183032.416335	96	other	-
10	04-29-2015 16:11:00.552	3513183060.552944	104	left start ACQ	-
11	04-29-2015 16:11:43.856	3513183103.856421	117	left end ACQ	-
