Mark	Timestamp	Sync Time	Frame	Event	Comments
1	04-30-2015 16:35:40.149	3513270940.149501	10	left start ACQ	
2	04-30-2015 16:36:12.877	3513270972.877373	16	left end ACQ	-
3	04-30-2015 16:37:24.693	3513271044.693481	30	right start ACQ	-
4	04-30-2015 16:37:55.045	3513271075.045217	36	right end ACQ	-
5	04-30-2015 16:39:17.428	3513271157.428929	52	right start ACQ	-
6	04-30-2015 16:40:03.997	3513271203.997592	60	right end ACQ	-
7	04-30-2015 16:42:25.766	3513271345.766701	89	left start ACQ	-
8	04-30-2015 16:43:17.972	3513271397.972687	98	left end ACQ	-
