Mark	Timestamp	Sync Time	Frame	Event	Comments
1	04-28-2015 15:51:52.214	3513095512.214618	2	left start ACQ	
2	04-28-2015 15:52:26.083	3513095546.083555	9	left end ACQ	-
3	04-28-2015 15:53:01.736	3513095581.736594	16	right start ACQ	-
4	04-28-2015 15:53:37.414	3513095617.414635	23	right end ACQ	-
5	04-28-2015 15:55:44.104	3513095744.104881	48	right start ACQ	-
6	04-28-2015 15:56:41.539	3513095801.539166	59	right end ACQ	-
7	04-28-2015 15:57:55.540	3513095875.540399	74	left start ACQ	-
8	04-28-2015 15:58:53.824	3513095933.824733	85	left end ACQ	-
